url주소,기업,알바명,고용형태,직업종류,고용기간,실근무시간,야간근무여부,상세주소,위도,경도,x좌표,y좌표,starttime,endtime
http://www.alba.co.kr/job/Detail.asp?adid=97388064,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97399755,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97402997,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97382709,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97442297,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97432058,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97434603,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97423770,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97389269,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97434467,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97436473,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97442464,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97440506,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97362512,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439283,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97417712,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97423215,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439213,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97408272,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97385133,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97404789,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97417619,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439549,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97433477,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97436479,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97433745,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97397814,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97433380,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439960,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97440555,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97437122,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97433224,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97432244,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97433155,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97422681,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97433458,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97433432,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439344,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97433182,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97396106,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97395948,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97395878,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97404045,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97403950,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97418357,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97430505,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97421829,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97400024,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97413959,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97413926,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439871,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439870,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97440168,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97432667,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97432315,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97432479,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97438685,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97429482,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97432011,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97438674,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97414863,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431660,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97429288,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97415324,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97392967,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97411302,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97430403,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97438875,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97438107,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97412977,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97420791,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97413307,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97438388,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97438715,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97430842,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97430215,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97437833,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97437741,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97437708,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97437633,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97437840,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97414634,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97422088,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97416301,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97438102,,,,,,,,,,,,,,
